symbol,direction,regime,adx_value,signal_score,score_verdict,has_sweep,sweep_strength,has_bos,bos_type,has_ob,ob_valid,sl_source,result,pnl_pct,net_pnl_pct,win,rr,ema_strength,rsi_value,macd_hist_normalized,volume_ratio,created_at,entry_price,exit_price
LINK/USDT,SELL,expansion,23.100221250936883,5,moderate,False,0.0,False,,False,False,atr,TP,3.5274,3.3274,True,2.0,-1.0,15.163572215411254,-0.695506,2.5317,2026-03-18 14:00:00+00:00,9.326,8.99703831
LINK/USDT,SELL,expansion,28.050246737210244,5,moderate,False,0.0,True,bearish,False,False,bos,TP,2.8285,2.6285,True,2.83,-1.0,15.053948493336392,-0.294983,3.1439,2026-03-27 10:00:00+00:00,8.768,8.51999685
LINK/USDT,SELL,trend,33.284510242770224,4,moderate,True,1.0,False,,False,False,atr,SL,-1.6615,-1.8615,False,1.0,-1.0,27.485700720968588,-0.40684,0.683,2026-04-02 06:00:00+00:00,8.529,8.67071164
LINK/USDT,SELL,expansion,24.93109045366305,5,moderate,True,1.0,True,bullish,False,False,atr,SL,-1.355,-1.555,False,1.0,-0.7254039572861425,28.63921744426692,-0.284198,1.9471,2026-04-29 18:00:00+00:00,8.961,9.08241744
LINK/USDT,SELL,range,26.78900888614768,3,weak,True,1.0,True,bullish,False,False,atr,SL,-1.2219,-1.4219,False,1.0,-0.43825752663722467,41.251645970225944,0.091035,0.2525,2026-04-30 02:00:00+00:00,9.165,9.27698887
LINK/USDT,SELL,trend,35.22514302885226,5,moderate,False,0.0,False,,False,False,atr,TP,2.371,2.171,True,2.0,-0.894476069501216,22.102823593375557,-0.105495,2.1924,2026-05-16 06:00:00+00:00,9.913,9.67796652
LINK/USDT,SELL,trend,41.968612845939425,5,moderate,False,0.0,False,,False,False,atr,TP,2.6336,2.4336,True,2.0,-1.0,13.356065329108223,-0.278937,1.8513,2026-05-16 09:00:00+00:00,9.767,9.50977203
LINK/USDT,SELL,expansion,20.154155938561832,5,moderate,True,1.0,True,bullish,False,False,structural,TP,2.6458,2.4458,True,2.28,-0.35709181970065373,28.18241796867965,-0.147361,2.8347,2026-05-17 23:00:00+00:00,9.664,9.40830964
LINK/USDT,SELL,trend,37.60310662693658,4,moderate,True,1.0,False,,False,False,atr,SL,-1.2251,-1.4251,False,1.0,-0.946053764741942,23.293166274900013,-0.069046,1.1147,2026-05-18 10:00:00+00:00,9.416,9.53135248
LINK/USDT,SELL,range,34.08751333790805,4,moderate,True,1.0,False,,False,False,atr,SL,-1.3723,-1.5723,False,1.0,-0.5865046028187455,42.50175233130778,0.124992,1.6399,2026-05-18 13:00:00+00:00,9.547,9.67801819
LINK/USDT,SELL,trend,28.94889545646592,4,moderate,True,0.8,True,bullish,False,False,atr,TP,3.4263,3.2263,True,2.0,-1.0,27.605947707208937,-0.343753,0.7313,2026-05-22 23:00:00+00:00,9.542,9.21506319
LINK/USDT,SELL,trend,41.85836427299405,5,moderate,True,0.8,False,,False,False,atr,SL,-1.5672,-1.7672,False,1.0,-1.0,14.84451254430501,-0.218249,2.2891,2026-05-23 07:00:00+00:00,9.301,9.44676465
LINK/USDT,SELL,range,24.59322200845113,4,moderate,False,0.0,False,,False,False,atr,SL,-1.3037,-1.5037,False,1.0,-0.37290942109295727,42.55883464691407,0.017896,2.257,2026-05-25 01:00:00+00:00,9.449,9.57218758
LINK/USDT,SELL,range,43.01776634366051,5,moderate,False,0.0,False,,False,False,atr,TP,3.8633,3.6633,True,2.0,-0.4458490999233787,36.42007710580457,-0.043338,1.8336,2026-06-03 15:00:00+00:00,8.454,8.12739933
